Date,Tech,Tech Score,Opponent,Opponent Score,W/L/T,City,State,Notes,,,,,Total points scored:
4/2/1905,Louisiana Tech,7,Henderson State,14,L,"Ruston, LA",LA,,,,,,21
4/2/1905,Louisiana Tech,0,Northwestern State,27,L,"Ruston, LA",LA,,,,,,27
4/3/1905,Louisiana Tech,14,Louisiana College,0,W,"Pineville, LA",LA,,,,,,14
4/3/1905,Louisiana Tech,13,St. Charles College,7,W,"Ruston, LA",LA,,,,,,20
4/3/1905,Louisiana Tech,7,Louisiana College,0,W,"Ruston, LA",LA,,,,,,7
4/3/1905,Louisiana Tech,3,Southern Arkansas,0,W,"Ruston, LA",LA,,,,,,3
4/4/1905,Louisiana Tech,13,Arkansas-Monticello,0,W,"Ruston, LA",LA,,,,,,13
11/18/1905,Louisiana Tech,0,LSU,16,L,"Baton Rouge, LA",LA,,,,,,16
11/9/1906,Louisiana Tech,0,LSU,17,L,"Baton Rouge, LA",LA,,,,,,17
10/11/1907,Louisiana Tech,0,LSU,26,L,"Baton Rouge, LA",LA,Times-Democrat article Oct 12,,,,,26
10/18/1907,Louisiana Tech,36,Ouachita Baptist,0,W,"Ruston, LA",LA,Shreveport Times article Oct 19,,,,,36
10/25/1907,Louisiana Tech,37,Northwestern State,4,W,"Natchitoches, LA",LA,Shreveport Times article Oct 26 (Tech media guide said 43-4),,,,,41
10/5/1908,Louisiana Tech,28,16th U.S. Infantry,0,W,"Ruston, LA",LA,"Shreveport Times, 10/6/1908",,,,,28
10/10/1908,Louisiana Tech,0,Mississippi State,47,L,"Starkville, MS",MS,,,,,,47
10/23/1908,Louisiana Tech,0,Shreveport Athletic Club,0,T,"Ruston, LA",LA,"Shreveport Times, 10/24/1908",,,,,0
11/14/1908,Louisiana Tech,77,Ouachita Baptist,6,W,"Ruston, LA",LA,"Shreveport Times, 11/15/1908",,,,,83
11/23/1908,Louisiana Tech,0,LSU,22,L,"Ruston, LA",LA,,,,,,22
11/4/1909,Louisiana Tech,0,LSU,23,L,"Alexandria, LA",LA,,,,,,23
10/13/1911,Louisiana Tech,0,Ole Miss,15,L,"Oxford, MS",MS,,,,,,15
10/18/1911,Louisiana Tech,0,Tulane,45,L,"Ruston, LA",LA,,,,,,45
10/23/1911,Louisiana Tech,6,Ouachita Baptist,0,W,"Arkadelphia, AR",AR,,,,,,6
11/4/1911,Louisiana Tech,24,Mississippi College,0,W,"Ruston, LA",LA,,,,,,24
11/9/1912,Louisiana Tech,13,Mississippi College,14,L,"Ruston, LA",LA,,,,,,27
10/4/1913,Louisiana Tech,2,LSU,20,L,"Ruston, LA",LA,,,,,,22
11/1/1913,Louisiana Tech,0,Ole Miss,26,L,"Oxford, MS",MS,,,,,,26
11/27/1913,Louisiana Tech,7,Centenary,0,W,"Ruston, LA",LA,,,,,,7
10/3/1914,Louisiana Tech,0,LSU,60,L,"Baton Rouge, LA",LA,,,,,,60
10/17/1914,Louisiana Tech,0,Henderson State,28,L,"Ruston, LA",LA,,,,,,28
10/31/1914,Louisiana Tech,8,Mississippi College,14,L,"Ruston, LA",LA,,,,,,22
11/7/1914,Louisiana Tech,14,Centenary,0,W,"Ruston, LA",LA,,,,,,14
10/15/1915,Louisiana Tech,0,Ouachita Baptist,19,L,"Arkadelphia, AR",AR,,,,,,19
11/3/1915,Louisiana Tech,7,UL-Lafayette,7,T,"Ruston, LA",LA,,,,,,14
11/6/1915,Louisiana Tech,20,Northwestern State,7,W,"Shreveport, LA",LA,,,,,,27
11/20/1915,Louisiana Tech,0,Mississippi College,0,T,"Ruston, LA",LA,,,,,,0
9/21/1916,Louisiana Tech,10,Ouachita Baptist,6,W,"Hope, AR",AR,,,,,,16
9/27/1916,Louisiana Tech,0,Henderson State,14,L,"Ruston, LA",LA,,,,,,14
11/4/1916,Louisiana Tech,24,Northwestern State,0,W,"Shreveport, LA",LA,,,,,,24
11/18/1916,Louisiana Tech,0,UL-Lafayette,26,L,"Ruston, LA",LA,,,,,,26
11/30/1916,Louisiana Tech,6,Hendrix College,7,L,"Conway, AR",AR,,,,,,13
11/3/1917,Louisiana Tech,0,Northwestern State,7,L,"Shreveport, LA",LA,,,,,,7
11/17/1917,Louisiana Tech,0,UL-Lafayette,57,L,"Ruston, LA",LA,,,,,,57
11/27/1919,Louisiana Tech,6,Southern Arkansas,7,L,"Magnolia, AR",AR,,,,,,13
10/30/1920,Louisiana Tech,0,Northwestern State,12,L,"Ruston, LA",LA,,,,,,12
11/12/1920,Louisiana Tech,0,UL-Lafayette,0,T,"Ruston, LA",LA,"this game was forfeited by ULL, Tech counts it as a W",,,,,0
10/28/1921,Louisiana Tech,22,Southern Arkansas,13,W,"Magnolia, AR",AR,,,,,,35
11/4/1921,Louisiana Tech,20,Ouachita Baptist,0,W,"Ruston, LA",LA,,,,,,20
11/11/1921,Louisiana Tech,20,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,20
11/24/1921,Louisiana Tech,14,Centenary,7,W,"Shreveport, LA",LA,,,,,,21
10/14/1922,Louisiana Tech,34,Hendrix College,0,W,"Ruston, LA",LA,,,,,,34
10/19/1922,Louisiana Tech,0,Northwestern State,0,T,"Natchitoches, LA",LA,,,,,,0
10/28/1922,Louisiana Tech,100,Clarke Memorial,0,W,"Ruston, LA",LA,"Jackson Daily News Oct 28, 1922",,,,,100
11/11/1922,Louisiana Tech,33,Louisiana College,6,W,"Alexandria, LA",LA,,,,,,39
11/13/1922,Louisiana Tech,34,Henderson State,0,W,"Ruston, LA",LA,,,,,,34
11/18/1922,Louisiana Tech,89,Southern Arkansas,0,W,"Ruston, LA",LA,,,,,,89
11/30/1922,Louisiana Tech,0,Centenary,22,L,"Shreveport, LA",LA,"Shreveport Times October 27, 1922",,,,,22
10/6/1923,Louisiana Tech,26,Little Rock,0,W,"Ruston, LA",LA,,,,,,26
10/12/1923,Louisiana Tech,7,Henderson State,3,W,"Arkadelphia, AR",AR,,,,,,10
10/20/1923,Louisiana Tech,7,Tulane,13,L,"New Orleans, LA",LA,,,,,,20
10/27/1923,Louisiana Tech,20,Millsaps College,0,W,"Ruston, LA",LA,,,,,,20
11/3/1923,Louisiana Tech,40,Louisiana College,7,W,"Pineville, LA",LA,,,,,,47
11/10/1923,Louisiana Tech,66,Northwestern State,7,W,"Natchitoches, LA",LA,,,,,,73
11/19/1923,Louisiana Tech,28,Loyola,6,W,"Ruston, LA",LA,,,,,,34
11/29/1923,Louisiana Tech,0,Centenary,27,L,"Shreveport, LA",LA,,,,,,27
10/4/1924,Louisiana Tech,0,Louisiana College,0,T,"Ruston, LA",LA,,,,,,0
10/11/1924,Louisiana Tech,12,Tulane,42,L,"New Orleans, LA",LA,,,,,,54
10/18/1924,Louisiana Tech,0,University of Dallas,9,L,"Ruston, LA",LA,,,,,,9
10/25/1924,Louisiana Tech,12,Little Rock,0,W,"Ruston, LA",LA,,,,,,12
10/27/1924,Louisiana Tech,0,Loyola,27,L,"New Orleans, LA",LA,,,,,,27
11/1/1924,Louisiana Tech,12,St. Edwards College,28,L,"Austin, TX",TX,,,,,,40
11/8/1924,Louisiana Tech,0,Ouachita Baptist,13,L,"Ruston, LA",LA,,,,,,13
11/15/1924,Louisiana Tech,6,UL-Lafayette,20,L,Lafayette. LA,LA,,,,,,26
9/26/1925,Louisiana Tech,0,Henderson State,0,T,"Ruston, LA",LA,,,,,,0
10/3/1925,Louisiana Tech,6,Mississippi College,0,W,"Clinton, MS",MS,,,,,,6
10/10/1925,Louisiana Tech,0,Little Rock,10,L,"Ruston, LA",LA,,,,,,10
10/17/1925,Louisiana Tech,2,Millsaps College,13,L,"Ruston, LA",LA,,,,,,15
10/24/1925,Louisiana Tech,0,Louisiana College,0,T,"Pineville, LA",LA,,,,,,0
10/30/1925,Louisiana Tech,0,Ouachita Baptist,28,L,"El Dorado, AR",AR,,,,,,28
11/7/1925,Louisiana Tech,0,Tulane,37,L,"New Orleans, LA",LA,,,,,,37
11/20/1925,Louisiana Tech,13,UL-Lafayette,22,L,"Ruston, LA",LA,,,,,,35
12/5/1925,Louisiana Tech,7,Ft. Benning Infantry,66,L,"Columbus, GA",GA,,,,,,73
9/25/1926,Louisiana Tech,0,Tulane,40,L,"New Orleans, LA",LA,,,,,,40
10/2/1926,Louisiana Tech,28,Northwestern State,0,W,"Ruston, LA",LA,,,,,,28
10/9/1926,Louisiana Tech,3,Clarke Memorial,0,W,"Ruston, LA",LA,,,,,,3
10/23/1926,Louisiana Tech,0,University of Tennessee - Doctors,0,T,"Ruston, LA",LA,"""game halted due to driving rain""",,,,,0
10/30/1926,Louisiana Tech,13,Millsaps College,7,W,"Ruston, LA",LA,,,,,,20
11/5/1926,Louisiana Tech,23,UL-Lafayette,0,W,Lafayette. LA,LA,,,,,,23
11/11/1926,Louisiana Tech,0,Centenary,7,L,"Shreveport, LA",LA,,,,,,7
11/19/1926,Louisiana Tech,6,Sam Houston State,6,T,"Ruston, LA",LA,,,,,,12
11/25/1926,Louisiana Tech,28,Louisiana College,0,W,"Ruston, LA",LA,,,,,,28
9/24/1927,Louisiana Tech,0,LSU,45,L,"Baton Rouge, LA",LA,,,,,,45
10/1/1927,Louisiana Tech,30,Clarke Memorial,0,W,"Ruston, LA",LA,,,,,,30
10/8/1927,Louisiana Tech,0,Mississippi State,14,L,"Starkville, MS",MS,,,,,,14
10/15/1927,Louisiana Tech,33,Northwestern State,0,W,"Natchitoches, LA",LA,,,,,,33
10/29/1927,Louisiana Tech,0,Mississippi College,7,L,"Monroe, LA",LA,,,,,,7
11/5/1927,Louisiana Tech,13,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,13
11/11/1927,Louisiana Tech,7,Stetson,19,L,"Deland, FL",FL,,,,,,26
11/19/1927,Louisiana Tech,0,Centenary,33,L,"Shreveport, LA",LA,,,,,,33
9/29/1928,Louisiana Tech,0,College of the Ozarks,18,L,"Ruston, LA",LA,,,,,,18
10/6/1928,Louisiana Tech,19,Clarke Memorial,6,W,"Ruston, LA",LA,,,,,,25
10/13/1928,Louisiana Tech,0,Northwestern State,6,L,"Natchitoches, LA",LA,,,,,,6
10/20/1928,Louisiana Tech,0,Samford,52,L,"Monroe, LA",LA,,,,,,52
10/27/1928,Louisiana Tech,0,Union (TN),26,L,"Ruston, LA",LA,,,,,,26
11/3/1928,Louisiana Tech,6,UL-Lafayette,45,L,Lafayette. LA,LA,,,,,,51
11/10/1928,Louisiana Tech,15,Millsaps College,7,W,"Ruston, LA",LA,,,,,,22
11/17/1928,Louisiana Tech,2,Centenary,63,L,"Shreveport, LA",LA,,,,,,65
11/29/1928,Louisiana Tech,0,Mississippi College,12,L,"Monroe, LA",LA,,,,,,12
10/5/1929,Louisiana Tech,21,Clarke Memorial,12,W,"Ruston, LA",LA,,,,,,33
10/12/1929,Louisiana Tech,6,Southern Arkansas,6,T,"Magnolia, AR",AR,,,,,,12
10/19/1929,Louisiana Tech,13,Ouachita Baptist,0,W,"El Dorado, AR",AR,,,,,,13
10/26/1929,Louisiana Tech,7,LSU,53,L,"Baton Rouge, LA",LA,,,,,,60
11/1/1929,Louisiana Tech,0,Northwestern State,0,T,"Ruston, LA",LA,,,,,,0
11/9/1929,Louisiana Tech,6,Millsaps College,0,W,"Jackson, MS",MS,,,,,,6
11/16/1929,Louisiana Tech,6,Mississippi College,21,L,"Clinton, MS",MS,,,,,,27
11/23/1929,Louisiana Tech,0,Centenary,19,L,"Shreveport, LA",LA,,,,,,19
11/30/1929,Louisiana Tech,13,Louisiana College,19,L,"Pineville, LA",LA,,,,,,32
12/7/1929,Louisiana Tech,24,UL-Lafayette,7,W,"Ruston, LA",LA,,,,,,31
9/27/1930,Louisiana Tech,0,LSU,71,L,"Baton Rouge, LA",LA,,,,,,71
9/30/1930,Louisiana Tech,72,Marine OCS,0,W,"Ruston, LA",LA,,,,,,72
10/4/1930,Louisiana Tech,0,Loyola,26,L,"New Orleans, LA",LA,,,,,,26
10/11/1930,Louisiana Tech,12,Arkansas-Monticello,0,W,"Ruston, LA",LA,,,,,,12
