Arkansas-Pine Bluff,2029
Charlotte,2429
Dallas Baptist,2164
FIU,2229
Grambling State,2755
Jacksonville State,55
Jax State,55
Kennesaw State,338
Kennesaw,338
LA TECH,2348
LA Tech,2348
LSU,99
Liberty,2335
Louisiana Tech,2348
Louisiana-Lafayette,309
Middle Tennessee,2393
New Mexico State,166
Nicholls,2447
Northwestern State,2466
Sacramento State,16
Southern Miss,2572
UAB,5
UL-Lafayette,309
ULL,309
ULM,2433
UTSA,2636
WKU,98
Western Kentucky,98
