,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
109,Coastal Carolina,Q3 14:50,1,10,Rush,75,-1,Ja'Vin Simpkins run for a loss of 1 yard to the CCU 24,401778325103854901,14,3
110,Coastal Carolina,Q3 14:12,2,11,Pass Incompletion,76,0,Tad Hudson pass incomplete,401778325103858701,14,3
111,Coastal Carolina,Q3 14:5,3,11,Pass Incompletion,76,0,Tad Hudson pass incomplete,401778325103859401,14,3
112,Coastal Carolina,Q3 13:55,4,11,Punt,76,38,"Emile Sebafundi punt for 38 yds , Dedrick Latulas returns for 30 yds to the CCU 32",401778325103864401,14,3
113,Louisiana Tech,Q3 13:55,4,11,Punt Return,38,30,"Emile Sebafundi punt for 38 yds , Dedrick Latulas returns for 30 yds to the CCU 32",401778325103864401,14,3
114,Louisiana Tech,Q3 13:50,1,10,Rush,68,2,Trey Kukuk run for 2 yds to the CCU 30,401778325103864901,3,14
115,Louisiana Tech,Q3 13:15,2,8,Rush,70,2,Andrew Burnette run for 2 yds to the CCU 28,401778325103868401,3,14
116,Louisiana Tech,Q3 12:45,3,6,Rush,72,0,Trey Kukuk run for no gain to the CCU 28,401778325103875401,3,14
117,Louisiana Tech,Q3 12:8,4,6,Penalty,72,-5,"Louisiana Tech Penalty, False Start (-5 Yards) to the CCU 33",401778325103879101,3,14
118,Louisiana Tech,Q3 11:45,4,11,Field Goal Good,67,51,John Hoyet Chance 51 yd FG GOOD,401778325103885401,6,14
119,Coastal Carolina,Q3 11:45,4,11,Kickoff,35,-47,John Hoyet Chance kickoff for 47 yds,401778325103885402,6,14
120,Coastal Carolina,Q3 11:36,1,10,Fumble Recovery (Opponent),65,5,"Tad Hudson pass complete to Robby Washington for 5 yds Robby Washington fumbled, recovered by LT Donovan Rieman",401778325103886301,14,6
121,Louisiana Tech,Q3 11:30,1,10,Rush,60,13,Trey Kukuk run for 13 yds to the CCU 27 for a 1ST down,401778325103886901,6,14
122,Louisiana Tech,Q3 11:15,1,10,Rush,73,0,Trey Kukuk run for no gain to the CCU 27,401778325103888402,6,14
123,Louisiana Tech,Q3 10:30,2,10,Rush,73,14,Andrew Burnette run for 14 yds to the CCU 13 for a 1ST down,401778325103896901,6,14
124,Louisiana Tech,Q3 10:30,1,10,Penalty,87,-15,"Louisiana Tech Penalty, Unsportsmanlike Conduct (-15 Yards) to the CCU 28",401778325103896902,6,14
125,Louisiana Tech,Q3 9:53,1,10,Rush,72,6,Andrew Burnette run for 6 yds to the CCU 22,401778325103904603,6,14
126,Louisiana Tech,Q3 9:28,2,4,Sack,78,-4,"Trey Kukuk sacked by Tray Brown for a loss of 4 yards to the CCU 23 Trey Kukuk fumbled, recovered by CCU",401778325103907101,6,14
127,Coastal Carolina,Q3 9:20,1,10,Rush,77,1,Dominic Knicely run for 1 yd to the CCU 24,401778325103907901,14,6
128,Coastal Carolina,Q3 8:45,2,9,Pass Reception,76,28,Tad Hudson pass complete to Bryson Graves for 28 yds to the LT 48 for a 1ST down,401778325103915401,14,6
129,Coastal Carolina,Q3 8:15,1,10,Rush,48,1,Dominic Knicely run for 1 yd to the LT 47,401778325103918401,14,6
130,Coastal Carolina,Q3 8:0,2,9,Pass Reception,47,39,Tad Hudson pass complete to Bryson Graves for 39 yds to the LT 8 for a 1ST down,401778325103919901,14,6
131,Coastal Carolina,Q3 7:11,1,8,Pass Incompletion,8,0,Tad Hudson pass incomplete,401778325103928801,14,6
132,Coastal Carolina,Q3 7:5,2,8,Rush,8,3,Jevon Edwards run for 3 yds to the LT 5,401778325103929401,14,6
133,Coastal Carolina,Q3 6:37,3,5,Pass Incompletion,5,0,Tad Hudson pass incomplete,401778325103936201,14,6
134,Coastal Carolina,Q3 6:23,4,0,Blocked Field Goal,5,22,"Kian Afrookhteh 22 yd FG BLOCKED blocked by Kenyatta McNeese Afrookhteh, Kian field goal attempt from 22 blocked, recovered by LATECH Foster, Jakari at LATECH20 spot at LATECH20 (blocked by McNeese, Kenyatta), Foster, Jakari for 13 yards to the LATECH33. Jakari Foster return for 13 yds to the LT 33",401778325103937601,14,6
135,Louisiana Tech,Q3 6:20,1,10,Rush,33,7,Clay Thevenin run for 7 yds to the LT 40,401778325103937901,6,14
136,Louisiana Tech,Q3 5:45,2,3,Penalty,40,-10,"Thevenin, Clay rush for 5 yards to the LATECH45, PENALTY LATECH holding 10 yards to the LATECH30, NO PLAY.",401778325103945402,6,14
137,Louisiana Tech,Q3 5:34,2,13,Pass Incompletion,30,0,Trey Kukuk pass incomplete,401778325103946501,6,14
