,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
147,Delaware,Q4 9:2,1,10,Kickoff,20,15,#48 J.Chance kickoff 73 yards to the DEL07 #2 M.Pollard return 15 yards to the DEL22 (#15 D.Pierro; #35 C.Watson),401757295628,10,16
148,Delaware,Q4 9:2,1,10,Rush,78,2,No Huddle-Shotgun #23 V.Ellison Jr. rush middle for 2 yards gain to the DEL24 (#23 A.Jackson Jr.),401757295633,16,10
149,Delaware,Q4 9:2,2,8,Penalty,76,10,No Huddle-Shotgun #23 V.Ellison Jr. rush middle for 12 yards gain to the DEL36 (#23 A.Jackson Jr.) PENALTY DEL Holding (#70 A.O'neal) 10 yards from DEL24 to DEL14. NO PLAY,401757295638,16,10
150,Delaware,Q4 9:2,2,18,Pass Reception,86,0,"No Huddle-Shotgun #4 N.Minicucci pass complete short left to #9 J.Kelly caught at DEL14, for 0 yards to the DEL14 (#1 M.Richard)",401757295643,16,10
151,Delaware,Q4 9:2,3,18,Pass Reception,86,4,"No Huddle-Shotgun #4 N.Minicucci pass complete short left to #27 J.Silver caught at DEL10, for 4 yards to the DEL18 (#98 D.Rieman)",401757295650,16,10
152,Delaware,Q4 6:41,4,14,Punt Return,82,11,#99 B.Lach punt 32 yards to the DEL50 #3 D.Latulas return 11 yards to the DEL39 (#58 C.Gallagher),401757295655,16,10
153,Louisiana Tech,Q4 6:41,1,10,Pass Reception,61,8,"No Huddle-Shotgun #7 E.Bullock pass complete short left to #11 J.Mickens caught at DEL31, for 8 yards to the DEL31, out of bounds at DEL31",401757295661,10,16
154,Louisiana Tech,Q4 6:41,2,2,Rush,69,1,No Huddle-Shotgun #22 O.Wiggins rush middle for 1 yard gain to the DEL30 (#14 K.Ali; #93 J.Hall),401757295666,10,16
155,Louisiana Tech,Q4 6:41,3,1,Rush,70,0,No Huddle-Shotgun #22 O.Wiggins rush middle for 0 yards to the DEL30 (#35 G.Moul; #9 K.Hunter),401757295670,10,16
156,Louisiana Tech,Q4 6:41,4,1,Rush,70,5,"No Huddle-Shotgun #0 A.Burnette rush left for 5 yards gain to the DEL25 (#7 K.Seay; #58 C.Gallagher), 1ST DOWN",401757295674,10,16
157,Louisiana Tech,Q4 6:41,1,10,Pass Reception,75,3,"No Huddle-Shotgun #7 E.Bullock pass complete short left to #11 J.Mickens caught at DEL28, for 3 yards to the DEL22 (#2 M.Pollard; #1 N.Evans) PENALTY TECH Holding (#18 M.Jackson) 10 yards from DEL22 to DEL32",401757295678,10,16
158,Louisiana Tech,Q4 6:41,1,17,Pass Reception,68,6,"No Huddle-Shotgun #7 E.Bullock pass complete short middle to #84 E.Finley caught at DEL26, for 6 yards to the DEL26 (#10 B.Matthews; #32 M.Mulumba)",401757295684,10,16
159,Louisiana Tech,Q4 6:41,2,11,Pass Reception,74,13,"No Huddle-Shotgun #7 E.Bullock pass complete short right to #4 C.Thevenin caught at DEL29, for 13 yards to the DEL13 (#1 N.Evans), out of bounds, 1ST DOWN",401757295689,10,16
160,Louisiana Tech,Q4 3:9,1,10,Rushing Touchdown,87,13,"C. Thevenin run for 13 yds, for a TD (D. Henderson KICK)",401757295694,17,16
161,Delaware,Q4 3:9,1,10,Kickoff,35,-65,"#48 J.Chance kickoff 65 yards to the DEL00, Touchback",401757295701,20,16
162,Delaware,Q4 3:9,1,10,Touchback,100,25,"#48 J.Chance kickoff 65 yards to the DEL00, Touchback",401757295701,20,16
163,Delaware,Q4 3:9,1,10,Pass Incompletion,75,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short middle to #18 S.Wilson thrown to DEL25 broken up by #90 J.Madkins,401757295704,16,20
164,Delaware,Q4 3:9,2,10,Pass Incompletion,75,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short right to #19 K.Duplessis thrown to DEL42 broken up by #11 C.Woods,401757295707,16,20
165,Delaware,Q4 3:9,3,10,Penalty,75,5,PENALTY DEL False Start (#62 A.Caccese) 5 yards from DEL25 to DEL20. NO PLAY,401757295710,16,20
166,Delaware,Q4 3:9,3,15,Penalty,80,10,"No Huddle-Shotgun #4 N.Minicucci pass incomplete short right to #27 A.Graham thrown to DEL25 PENALTY TECH Holding (#1 M.Richard) 10 yards from DEL20 to DEL30, 1ST DOWN. NO PLAY",401757295713,16,20
167,Delaware,Q4 3:9,1,10,Pass Incompletion,70,0,"No Huddle-Shotgun #4 N.Minicucci pass incomplete short left to #15 J.Thaw thrown to DEL49. The previous play is under automatic review - ""Runner was out of bounds"". CALL OVERTURNED. (Original Play: No Huddle-Shotgun #4 N.Minicucci pass complete short left to #15 J.Thaw caught at DEL49, for 19 yards to the DEL49 (#1 M.Richard), out of bounds, 1ST DOWN)",401757295723,16,20
168,Delaware,Q4 3:9,2,10,Pass Incompletion,70,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short middle to #27 J.Silver thrown to DEL35,401757295727,16,20
169,Delaware,Q4 3:9,3,10,Pass Incompletion,70,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short middle to #18 S.Wilson thrown to DEL40,401757295730,16,20
170,Delaware,Q4 2:23,4,10,Interception Return Touchdown,70,38,"N. Minicucci pass intercepted, J. Fields return  for 38 yds, for a TD (D. Henderson KICK)",401757295733,16,24
171,Delaware,Q4 2:23,1,10,Kickoff,35,-65,"#48 J.Chance kickoff 65 yards to the DEL00, Touchback",401757295741,27,16
172,Delaware,Q4 2:23,1,10,Touchback,100,25,"#48 J.Chance kickoff 65 yards to the DEL00, Touchback",401757295741,27,16
173,Delaware,Q4 2:23,1,10,Pass Reception,75,5,"No Huddle-Shotgun #4 N.Minicucci pass complete short right to #40 S.Moore caught at DEL28, for 5 yards to the DEL30 (#8 J.Fields)",401757295744,16,27
174,Delaware,Q4 2:23,2,5,Pass Reception,70,20,"No Huddle-Shotgun #4 N.Minicucci pass complete short right to #40 S.Moore caught at DEL40, for 20 yards to the DEL50 QB hurried by #92 L.Condry (#21 Z.Hill; #9 M.Mason), 1ST DOWN",401757295749,16,27
175,Delaware,Q4 2:23,1,10,Pass Incompletion,50,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short right to #40 S.Moore thrown to TECH40 QB hurried by #90 J.Madkins,401757295754,16,27
176,Delaware,Q4 2:23,2,10,Pass Incompletion,50,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete deep right to #18 S.Wilson thrown to TECH25,401757295757,16,27
177,Delaware,Q4 2:23,3,10,Pass Incompletion,50,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short left to #19 K.Duplessis thrown to TECH40 QB hurried by #21 Z.Hill,401757295760,16,27
178,Delaware,Q4 2:23,4,10,Penalty,50,15,"No Huddle-Shotgun #4 N.Minicucci pass incomplete deep left to #19 K.Duplessis thrown to TECH12 PENALTY TECH Pass Interference (#7 J.Shelby Jr.) 15 yards from TECH50 to TECH35, 1ST DOWN. NO PLAY",401757295763,16,27
179,Delaware,Q4 2:23,1,10,Pass Reception,35,20,"No Huddle-Shotgun #4 N.Minicucci pass complete short middle to #18 S.Wilson caught at TECH20, for 20 yards to the TECH15 (#0 S.Fongang), 1ST DOWN",401757295767,16,27
180,Delaware,Q4 2:23,1,10,Penalty,15,8,"No Huddle-Shotgun #4 N.Minicucci pass incomplete short middle to #18 S.Wilson thrown to TECH00 QB hurried by #8 J.Fields PENALTY TECH Face Mask (#22 J.Mayfield) 8 yards from TECH15 to TECH07, 1ST DOWN. NO PLAY",401757295774,16,27
181,Delaware,Q4 0:58,1,7,Rush,7,4,No Huddle-Shotgun #4 N.Minicucci rush middle for 4 yards gain to the TECH03 (#98 D.Rieman),401757295778,16,27
182,Delaware,Q4 0:58,1,10,Timeout,7,0,"Timeout Delaware, clock 00:58",401757295780,16,27
183,Delaware,Q4 0:34,2,3,Passing Touchdown,3,3,"N. Minicucci pass to E. Sessoms for 3 yds, for a TD (Two-Point Conversion failed)",401757295783,22,24
184,Louisiana Tech,Q4 0:34,2,3,Timeout,3,0,"Timeout Louisiana Tech, clock 00:34",401757295790,27,22
185,Louisiana Tech,Q4 0:34,0,0,Timeout,65,0,"Timeout Louisiana Tech, clock 00:34",401757295798,27,22
186,Delaware,Q4 0:34,1,10,Pass Incompletion,40,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete short left to #15 J.Thaw thrown to TECH25 QB hurried by #9 M.Mason,401757295800,22,27
187,Delaware,Q4 0:34,2,10,Pass Reception,40,6,"No Huddle-Shotgun #4 N.Minicucci pass complete short right to #19 K.Duplessis caught at TECH34, for 6 yards to the TECH34 (#7 J.Shelby Jr.), out of bounds",401757295803,22,27
188,Delaware,Q4 0:34,3,4,Pass Incompletion,34,0,No Huddle-Shotgun #4 N.Minicucci pass incomplete deep left to #18 S.Wilson thrown to TECH09 QB hurried by #6 J.Foster,401757295808,22,27
189,Louisiana Tech,Q4 0:33,1,10,Kickoff,65,0,#91 N.Reed onside kickoff 25 yards to the TECH40,401757295796,22,27
190,Delaware,Q4 0:12,4,4,Field Goal Good,34,51,Nate Reed 51 Yd Field Goal ,401757295811,25,24
191,Delaware,Q4 0:12,0,0,Penalty,65,15,PENALTY DEL UNS: Unsportsmanlike Conduct  15 yards from DEL35 to DEL20. NO PLAY,401757295814,25,24
192,Delaware,Q4 0:6,0,0,Penalty,80,10,#91 N.Reed kickoff 45 yards to the TECH35 #1 D.Gandy return 0 yards to the TECH35 (#58 C.Gallagher) PENALTY TECH Holding (#4 K.Franklin) 10 yards from TECH35 to TECH25,401757295817,25,24
193,Louisiana Tech,Q4 0:6,1,10,Pass Reception,25,35,"No Huddle-Shotgun #2 T.Kukuk pass complete short right to #4 C.Thevenin caught at TECH27, for 35 yards to the DEL40 lateral to #2 T.Kukuk for 12 yards gain to the TECH47 lateral to #3 D.Latulas for 13 yards gain to the DEL40 (#14 K.Ali), 1ST DOWN",401757295835,24,25
194,Louisiana Tech,Q4 0:0,1,10,End Period,75,-15,End of 4th quarter.,401757295844,24,25
195,Delaware,Q4 0:0,1,10,Kickoff,20,15,#48 J.Chance kickoff 73 yards to the DEL07 #2 M.Pollard return 15 yards to the DEL22 (#15 D.Pierro; #35 C.Watson),401757295855,24,25
