,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
71,Missouri State,Q2 2:0,1,10,Penalty,74,15,"No Huddle-Shotgun #12 J.Clark pass incomplete short right to #15 T.Gardner thrown to MSU42 PENALTY LTU Pass Interference (#7 J.Shelby Jr.) 15 yards from MSU26 to MSU41, 1ST DOWN. NO PLAY",401757314294,3,14
72,Missouri State,Q2 2:0,1,10,Pass Incompletion,59,0,No Huddle-Shotgun #12 J.Clark pass incomplete short left to #2 S.Lawrence thrown to MSU37,401757314298,3,14
73,Missouri State,Q2 2:0,2,10,Pass Reception,59,27,"No Huddle-Shotgun #12 J.Clark pass complete deep middle to #15 T.Gardner caught at LTU32, for 27 yards to the LTU32 (#7 J.Shelby Jr.), 1ST DOWN",401757314301,3,14
74,Missouri State,Q2 2:0,1,10,Pass Reception,32,9,"No Huddle-Shotgun #12 J.Clark pass complete short right to #1 D.Luke caught at LTU25, for 9 yards to the LTU23 (#6 J.Foster), out of bounds",401757314306,3,14
75,Missouri State,Q2 1:9,2,1,Passing Touchdown,23,23,"J. Clark pass to J. Robinson for 23 yds, for a TD (Y. Obeid KICK)",401757314311,10,14
76,Louisiana Tech,Q2 1:3,1,10,Kickoff,65,-50,#36 Y.Obeid kickoff 65 yards to the LTU00 #1 D.Gandy return 34 yards to the LTU34 (#36 Y.Obeid) PENALTY LTU Holding (#4 C.Thevenin) 10 yards from LTU25 to LTU15,401757314319,10,14
77,Louisiana Tech,Q2 1:3,1,10,Rush,15,5,No Huddle-Shotgun #4 C.Thevenin rush left for 5 yards gain to the LTU20 (#91 T.Brantley; #44 K.Young),401757314325,14,10
78,Louisiana Tech,Q2 1:3,2,5,Rush,20,2,No Huddle-Shotgun #4 C.Thevenin rush right for 2 yards gain to the LTU22 (#12 J.Dunbar),401757314329,14,10
79,Louisiana Tech,Q2 0:32,3,3,Rush,22,7,"No Huddle-Shotgun #2 T.Kukuk rush right for 7 yards gain to the LTU29 (#44 K.Young), 1ST DOWN",401757314333,14,10
80,Missouri State,Q2 0:32,2,5,Timeout,20,0,"Timeout Missouri State, clock 00:32",401757314335,10,14
81,Louisiana Tech,Q2 0:27,1,10,Pass Reception,29,9,"No Huddle-Shotgun #2 T.Kukuk pass complete short middle to #4 C.Thevenin caught at LTU30, for 9 yards to the LTU38 (#9 D.Dixson; #44 K.Young)",401757314338,14,10
82,Louisiana Tech,Q2 0:27,3,3,Timeout,22,0,"Timeout Louisiana Tech, clock 00:27",401757314340,14,10
83,Louisiana Tech,Q2 0:0,1,10,End Period,29,-7,End of 2nd quarter.,401757314346,14,10
84,Louisiana Tech,Q3 14:53,1,10,Kickoff,65,-32,#36 Y.Obeid kickoff 45 yards to the LTU20 #1 D.Gandy return 13 yards to the LTU33 (#36 Y.Obeid),401757314351,10,14
85,Louisiana Tech,Q3 14:48,1,10,Rush,33,11,"No Huddle-Shotgun #22 O.Wiggins rush right for 11 yards gain to the LTU44 (#0 M.Neal), 1ST DOWN",401757314358,14,10
86,Louisiana Tech,Q3 14:18,1,10,Rush,44,7,No Huddle-Shotgun #22 O.Wiggins rush middle for 7 yards gain to the MSU49 (#29 C.Ford; #44 K.Young),401757314362,14,10
87,Louisiana Tech,Q3 13:48,2,3,Rush,51,2,No Huddle-Shotgun #0 A.Burnette rush middle for 2 yards gain to the MSU47 (#91 T.Brantley; #55 A.Poole),401757314366,14,10
88,Louisiana Tech,Q3 13:18,3,1,Rush,53,0,No Huddle-Shotgun #0 A.Burnette rush middle for 0 yards to the MSU47 (#91 T.Brantley),401757314370,14,10
89,Louisiana Tech,Q3 12:8,4,1,Pass Incompletion,53,0,"Shotgun #2 T.Kukuk pass incomplete deep right to #18 M.Jackson thrown to MSU20, TURNOVER ON DOWNS",401757314374,14,10
90,Missouri State,Q3 12:8,1,10,Penalty,53,5,PENALTY MSU Delay Of Game  5 yards from MSU47 to MSU42. NO PLAY,401757314378,10,14
91,Missouri State,Q3 12:8,1,15,Pass Reception,58,6,"Shotgun #12 J.Clark pass complete short left to #9 R.Johnson caught at MSU45, for 6 yards to the MSU48 (#6 J.Foster; #7 J.Shelby Jr.)",401757314381,10,14
92,Missouri State,Q3 12:8,2,9,Pass Incompletion,52,0,No Huddle-Shotgun #12 J.Clark pass incomplete short right to #11 M.Cope thrown to LTU42 broken up by #9 M.Mason,401757314386,10,14
93,Missouri State,Q3 12:8,3,9,Sack,52,-10,No Huddle-Shotgun #12 J.Clark sacked for loss of 10 yards to the MSU38 (#94 E.Oguns),401757314389,10,14
94,Missouri State,Q3 10:48,4,19,Fumble,62,11,"No Huddle #25 S.McDonald rush right for 11 yards gain to the MSU49 fumbled by #25 S.McDonald at LTU45 forced by #11 C.Woods, out of bounds at MSU49, TURNOVER ON DOWNS",401757314393,10,14
95,Louisiana Tech,Q3 10:48,1,10,Rush,51,20,"No Huddle-Shotgun #22 O.Wiggins rush left for 20 yards gain to the MSU29 (#0 M.Neal), 1ST DOWN",401757314400,14,10
96,Louisiana Tech,Q3 10:48,1,10,Rush,71,22,"No Huddle-Shotgun #2 T.Kukuk rush middle for 22 yards gain to the MSU07 (#44 K.Young), 1ST DOWN",401757314404,14,10
97,Louisiana Tech,Q3 10:48,1,7,Rush,93,-2,No Huddle-Shotgun #22 O.Wiggins rush left for 2 yards loss to the MSU09 (#0 M.Neal),401757314408,14,10
98,Louisiana Tech,Q3 10:48,2,9,Rush,91,4,No Huddle-Shotgun #2 T.Kukuk rush middle for 4 yards gain to the MSU05 (#44 K.Young; #30 C.Wiest),401757314412,14,10
