,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
90,SE Louisiana,Q3 15:0,1,10,Penalty,65,-5,"Garcia Rodriguez,Guillermo kickoff 0 yards to the SLU35 PENALTY SLU Offside (Henry,Jaedon) 5 yards from SLU35 to SLU30. NO PLAY.",401757221103849903,0,0
91,Louisiana Tech,Q3 14:57,1,10,Kickoff,70,-69,"Guillermo Garcia Rodriguez kickoff for 69 yds , Fred Robertson return for 41 yds to the LT 42",401757221103854201,0,3
92,Louisiana Tech,Q3 14:57,1,10,Rush,42,7,Trey Kukuk run for 7 yds to the LT 49,401757221103854203,3,0
93,Louisiana Tech,Q3 14:57,2,3,Pass Reception,49,2,Trey Kukuk pass complete to Dane Benedix for 2 yds to the SELA 49,401757221103854204,3,0
94,Louisiana Tech,Q3 14:57,3,1,Rush,51,4,Trey Kukuk run for 4 yds to the SELA 45 for a 1ST down,401757221103854205,3,0
95,Louisiana Tech,Q3 14:57,1,10,Pass Reception,55,25,Trey Kukuk pass complete to Dedrick Latulas for 25 yds to the SELA 20 for a 1ST down,401757221103854206,3,0
96,Louisiana Tech,Q3 14:57,1,10,Rush,80,3,Omiri Wiggins run for 3 yds to the SELA 17,401757221103854207,3,0
97,Louisiana Tech,Q3 14:57,2,7,Pass Incompletion,83,0,Trey Kukuk pass incomplete to Dedrick Latulas,401757221103854208,3,0
98,Louisiana Tech,Q3 12:24,3,7,Passing Touchdown,83,17,Trey Kukuk pass complete to Omiri Wiggins for 17 yds for a TD (Drew Henderson KICK),401757221103877501,10,0
99,SE Louisiana,Q3 12:24,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757221103877503,10,0
100,SE Louisiana,Q3 12:24,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757221103877503,10,0
101,SE Louisiana,Q3 12:24,2,8,Timeout,73,0,"Timeout SE Louisiana, clock 12:24",401757221103877505,0,10
102,SE Louisiana,Q3 12:24,1,10,Rush,75,2,Jaedon Henry run for 2 yds to the SELA 27,401757221103877506,0,10
103,SE Louisiana,Q3 12:24,2,8,Pass Incompletion,73,0,Carson Camp pass incomplete to Adyn Wilkinson,401757221103877507,0,10
104,SE Louisiana,Q3 12:24,3,8,Rush,73,0,Carson Camp run for no gain to the SELA 27,401757221103877508,0,10
105,SE Louisiana,Q3 10:52,4,8,Punt,73,23,"Alec Mahler punt for 23 yds, punt out-of-bounds at the 50 yard line , Kameron Carter returns for no gain to the 50 yard line",401757221103894701,0,10
106,Louisiana Tech,Q3 10:52,1,10,Pass Reception,50,4,Trey Kukuk pass complete to Eli Finley for 4 yds to the SELA 46,401757221103894703,10,0
107,Louisiana Tech,Q3 10:52,2,6,Rush,54,33,Clay Thevenin run for 33 yds to the SELA 13 for a 1ST down,401757221103894704,10,0
108,Louisiana Tech,Q3 10:52,1,10,Rush,87,1,Trey Kukuk run for 1 yd to the SELA 12,401757221103894705,10,0
109,Louisiana Tech,Q3 10:52,2,9,Rush,88,8,Clay Thevenin run for 8 yds to the SELA 4,401757221103894706,10,0
110,Louisiana Tech,Q3 10:52,3,1,Rush,96,2,Trey Kukuk run for 2 yds to the SELA 2 for a 1ST down,401757221103894707,10,0
