,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
176,Louisiana Tech,Q4 7:27,1,10,Rush,72,8,Clay Thevenin run for 8 yds to the UTEP 20,401757272104927201,17,3
177,Louisiana Tech,Q4 6:49,2,2,Rush,80,-4,Clay Thevenin run for a loss of 4 yards to the UTEP 24,401757272104935001,17,3
178,Louisiana Tech,Q4 6:5,3,6,Rush,76,9,Blake Baker run for 9 yds to the UTEP 15 for a 1ST down,401757272104939401,17,3
179,Louisiana Tech,Q4 5:21,1,10,Penalty,85,5,"UTEP Penalty, Face Mask (5 yards) (Ashton Coker) to the UTEP 4 for a 1ST down",401757272104947801,17,3
180,Louisiana Tech,Q4 4:58,1,4,Rushing Touchdown,96,4,Clay Thevenin run for 4 yds for a TD (Drew Henderson KICK),401757272104954101,24,3
181,UTEP,Q4 4:58,1,10,Timeout,75,0,"Timeout UTEP, clock 04:58",401757272104954104,3,17
182,UTEP,Q4 4:58,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757272104954105,24,3
183,UTEP,Q4 4:58,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757272104954105,24,3
184,UTEP,Q4 4:48,1,10,Pass Reception,75,5,Skyler Locklear pass complete to Eric Willis III for 5 yds to the UTEP 30,401757272104955101,3,24
185,UTEP,Q4 4:27,2,5,Pass Reception,70,23,Skyler Locklear pass complete to Wondame Davis Jr. for 23 yds to the LT 47 for a 1ST down,401757272104957201,3,24
186,UTEP,Q4 4:2,1,10,Rush,47,12,Ashten Emory run for 12 yds to the LT 35 for a 1ST down,401757272104959701,3,24
187,UTEP,Q4 3:34,1,10,Passing Touchdown,35,35,Skyler Locklear pass complete to Wondame Davis Jr. for 35 yds for a TD (Josh Schuchts pass to for Two-Point Conversion),401757272104966501,11,24
188,Louisiana Tech,Q4 3:33,1,10,Kickoff,65,-11,Jackson Cleaver kickoff for 11 yds,401757272104966601,11,24
189,Louisiana Tech,Q4 3:28,1,10,Rush,54,2,Clay Thevenin run for 2 yds to the UTEP 44,401757272104967101,24,11
190,Louisiana Tech,Q4 2:41,2,8,Rush,56,0,Blake Baker run for no gain to the UTEP 44,401757272104975801,24,11
191,Louisiana Tech,Q4 2:41,3,8,Timeout,56,0,"Timeout UTEP, clock 02:41",401757272104975802,24,11
192,Louisiana Tech,Q4 2:34,3,8,Penalty,56,-10,"(02:40) No Huddle-Shotgun Thevenin,Clay rush right for 7 yards gain to the UTEP37 (Russell,Lantz; Smith,Xavier) PENALTY LATECH Holding (Brackins III,Roy) 10 yards from UTEP44 to LATECH46. NO PLAY.",401757272104976501,24,11
193,Louisiana Tech,Q4 2:6,3,18,Rush,46,-2,Clay Thevenin run for a loss of 2 yards to the LT 44,401757272104979301,24,11
194,Louisiana Tech,Q4 2:0,4,20,Timeout,44,0,"Timeout UTEP, clock 02:00",401757272104979901,24,11
